,height,weight,role,foot,currentTeamId,league_id,goals
0,172,66,DEF,left,674,795,0.05
1,183,78,DEF,right,674,795,0.0
2,191,83,FWD,right,674,795,0.26
3,185,73,GKP,right,674,795,0.0
4,177,75,FWD,right,674,795,0.07
5,189,78,DEF,right,674,795,0.08
6,186,73,MID,right,674,795,0.17
7,185,81,MID,right,674,795,0.0
8,188,75,GKP,right,674,795,0.0
9,179,65,DEF,right,674,795,0.0
10,176,70,MID,right,674,795,0.17
11,178,64,MID,right,674,795,0.06
12,196,87,GKP,left,674,795,0.0
13,182,76,FWD,left,674,795,0.36
14,182,73,DEF,left,674,795,0.11
15,176,72,FWD,right,674,795,0.04
16,170,65,MID,right,674,795,0.0
17,180,75,FWD,left,674,795,0.0
18,188,79,DEF,right,674,795,0.0
19,187,85,DEF,right,674,795,0.0
20,182,76,DEF,right,674,795,0.0
21,172,63,FWD,right,674,795,0.09
22,183,77,FWD,right,674,795,0.25
23,187,70,MID,right,674,795,0.13
24,190,78,DEF,left,674,795,0.0
25,180,76,DEF,right,675,795,0.0
26,191,86,FWD,right,675,795,0.47
27,188,88,GKP,right,675,795,0.0
28,200,96,GKP,left,675,795,0.0
29,173,70,DEF,right,675,795,0.17
30,173,73,DEF,right,675,795,0.15
31,172,66,MID,right,675,795,0.1
32,183,76,MID,right,675,795,0.04
33,180,78,DEF,left,675,795,0.0
34,190,86,DEF,right,675,795,0.03
35,180,73,DEF,left,675,795,0.0
36,179,70,MID,right,675,795,0.0
37,182,78,MID,right,675,795,0.06
38,186,78,DEF,right,675,795,0.0
39,170,68,FWD,right,675,795,0.43
40,191,83,GKP,right,675,795,0.0
41,169,63,DEF,left,675,795,0.06
42,188,82,MID,right,675,795,0.12
43,176,73,FWD,right,675,795,0.67
44,174,64,FWD,right,675,795,0.35
45,182,68,MID,left,675,795,0.0
46,186,75,MID,right,675,795,0.67
47,185,81,GKP,right,675,795,0.0
48,175,70,MID,left,675,795,1.28
49,199,85,GKP,right,675,795,0.0
50,178,68,MID,right,676,795,0.29
51,182,76,DEF,left,676,795,0.0
52,183,83,MID,right,676,795,0.0
53,188,84,DEF,left,676,795,0.0
54,180,80,MID,right,676,795,0.14
55,185,81,FWD,right,676,795,0.56
56,187,85,GKP,right,676,795,0.0
57,187,82,DEF,right,676,795,0.08
58,182,74,DEF,right,676,795,0.07
59,184,78,GKP,right,676,795,0.0
60,181,74,MID,right,676,795,0.1
61,184,77,FWD,right,676,795,0.45
62,176,68,FWD,left,676,795,0.35
63,180,75,DEF,right,676,795,0.03
64,188,79,DEF,right,676,795,0.04
65,181,70,FWD,right,676,795,0.37
66,174,60,MID,right,676,795,0.23
67,190,77,GKP,right,676,795,0.0
68,175,69,DEF,left,676,795,0.0
69,173,70,MID,right,676,795,0.08
70,180,69,FWD,left,676,795,0.18
71,187,77,FWD,right,676,795,0.99
72,188,76,GKP,right,676,795,0.0
73,182,69,DEF,right,676,795,0.0
74,176,68,MID,right,676,795,0.45
75,172,76,FWD,right,676,795,0.46
76,182,71,MID,right,678,795,0.0
77,175,70,MID,right,678,795,0.04
78,182,78,DEF,right,678,795,0.04
79,170,66,FWD,right,678,795,0.25
80,184,83,FWD,right,678,795,0.17
81,181,79,DEF,left,678,795,0.13
82,180,81,MID,right,678,795,0.11
83,182,78,DEF,right,678,795,0.0
84,180,70,DEF,right,678,795,0.0
85,186,80,FWD,right,678,795,0.35
86,184,86,FWD,left,678,795,0.3
87,191,84,MID,left,678,795,0.16
88,175,73,FWD,right,678,795,0.35
89,190,89,GKP,right,678,795,0.0
90,188,78,FWD,right,678,795,0.53
91,183,83,DEF,right,678,795,0.0
92,188,72,MID,right,678,795,0.17
93,186,76,DEF,right,678,795,0.03
94,177,63,DEF,left,678,795,0.0
95,178,67,MID,right,678,795,0.0
96,187,78,GKP,left,678,795,0.0
97,181,67,FWD,right,678,795,0.19
98,183,72,FWD,right,678,795,0.0
99,178,86,DEF,left,678,795,0.0
100,183,76,MID,left,678,795,0.18
101,185,77,MID,right,678,795,0.0
102,178,78,FWD,right,679,795,0.45
103,189,84,FWD,right,679,795,0.65
104,176,74,MID,right,679,795,0.0
105,176,73,FWD,left,679,795,0.5
106,185,78,FWD,right,679,795,0.0
107,184,77,MID,left,679,795,0.06
108,187,79,DEF,right,679,795,0.0
109,178,77,DEF,right,679,795,0.0
110,171,62,MID,left,679,795,0.0
111,187,72,DEF,right,679,795,0.0
112,186,81,MID,right,679,795,0.06
113,188,87,GKP,right,679,795,0.0
114,180,70,MID,right,679,795,0.12
115,185,80,DEF,right,679,795,0.0
116,171,68,FWD,right,679,795,0.48
117,184,75,DEF,left,679,795,0.0
118,184,74,MID,right,679,795,0.19
119,180,73,DEF,left,679,795,0.22
120,175,70,DEF,right,679,795,0.09
121,174,68,MID,right,679,795,0.16
122,170,69,MID,right,679,795,0.16
123,189,82,GKP,right,679,795,0.0
124,185,76,FWD,right,679,795,0.0
125,181,75,MID,right,679,795,0.0
126,178,67,FWD,right,679,795,0.0
127,188,80,GKP,left,679,795,0.0
128,180,65,MID,right,679,795,0.0
129,187,81,MID,right,680,795,0.05
130,184,82,DEF,right,680,795,0.1
131,172,60,DEF,right,680,795,0.0
132,180,76,FWD,right,680,795,0.0
133,176,70,FWD,left,680,795,0.05
134,181,80,FWD,left,680,795,0.33
135,192,90,GKP,right,680,795,0.0
136,188,84,FWD,right,680,795,0.11
137,172,69,DEF,left,680,795,0.06
138,189,90,GKP,left,680,795,0.0
139,175,70,MID,right,680,795,0.0
140,183,74,MID,right,680,795,0.0
141,185,75,MID,left,680,795,0.0
142,184,77,MID,right,680,795,0.06
143,187,77,FWD,left,680,795,0.35
144,185,81,DEF,left,680,795,0.0
